cohort	method	attempted	eligible	tested	withheld	rawPBelow001	rawPBelow005	bh001	bh005	bh010	anyBH005
04	native-lrt	32357	16300	4198	28159	31	110	1	1	1	True
04	native-ql	32357	16300	15553	16804	78	462	0	0	0	False
04	native-fixed-wald	32357	16300	15553	16804	101	429	3	5	8	True
04	native-fixed-lrt	32357	16300	15553	16804	97	419	2	5	5	True
04	reference-edgeR-QL	32357	16300	16300	16057	119	622	0	0	0	False
04	reference-limma-voom	32357	16300	16300	16057	103	597	0	0	0	False
04	reference-DESeq2	32357	16300	16300	16057	70	285	3	3	5	True
04	reference-DESeq2-default	32357	16300	16291	16066	70	284	3	3	5	True
05	native-wald	32357	16290	4334	28023	80	224	1	2	3	True
05	native-lrt	32357	16290	4334	28023	76	224	1	1	5	True
05	native-ql	32357	16290	14223	18134	206	812	0	0	0	False
05	native-fixed-wald	32357	16290	14223	18134	252	771	4	12	28	True
05	native-fixed-lrt	32357	16290	14223	18134	248	764	3	12	29	True
05	reference-edgeR-QL	32357	16290	16290	16067	248	978	0	0	0	False
05	reference-limma-voom	32357	16290	16290	16067	198	894	0	0	0	False
05	reference-DESeq2	32357	16290	16290	16067	181	490	3	5	13	True
05	reference-DESeq2-default	32357	16290	16285	16072	180	489	3	7	15	True
06	native-wald	32357	16461	1210	31147	20	59	0	1	2	True
06	native-lrt	32357	16461	1210	31147	20	57	0	1	2	True
06	native-ql	32357	16461	14199	18158	162	843	0	0	0	False
06	native-fixed-wald	32357	16461	14199	18158	233	775	3	7	11	True
06	native-fixed-lrt	32357	16461	14199	18158	229	773	4	6	11	True
06	reference-edgeR-QL	32357	16461	16461	15896	226	1077	0	0	0	False
06	reference-limma-voom	32357	16461	16461	15896	200	988	0	0	0	False
06	reference-DESeq2	32357	16461	16461	15896	133	423	2	5	5	True
06	reference-DESeq2-default	32357	16461	16454	15903	133	422	3	5	11	True
07	native-wald	32357	16093	15996	16361	120	553	1	5	7	True
07	native-lrt	32357	16093	15996	16361	121	560	1	5	5	True
07	native-ql	32357	16093	15996	16361	111	660	0	0	0	False
07	native-fixed-wald	32357	16093	15996	16361	120	553	1	5	7	True
07	native-fixed-lrt	32357	16093	15996	16361	121	560	1	5	5	True
07	reference-edgeR-QL	32357	16093	16093	16264	133	763	0	0	0	False
07	reference-limma-voom	32357	16093	16093	16264	122	708	0	0	1	False
07	reference-DESeq2	32357	16093	16093	16264	87	383	2	4	5	True
07	reference-DESeq2-default	32357	16093	16085	16272	87	383	2	4	5	True
08	native-wald	32357	16025	931	31426	26	68	0	3	4	True
08	native-lrt	32357	16025	931	31426	25	68	0	1	4	True
08	native-ql	32357	16025	13342	19015	285	1028	0	0	0	False
08	native-fixed-wald	32357	16025	13342	19015	333	932	22	51	97	True
08	native-fixed-lrt	32357	16025	13342	19015	331	921	19	49	83	True
08	reference-edgeR-QL	32357	16025	16025	16332	351	1236	0	0	8	False
08	reference-limma-voom	32357	16025	16025	16332	322	1168	0	0	1	False
08	reference-DESeq2	32357	16025	16025	16332	157	455	6	13	23	True
08	reference-DESeq2-default	32357	16025	16025	16332	157	455	9	26	36	True
09	native-wald	32357	15354	282	32075	11	31	0	0	0	False
09	native-lrt	32357	15354	282	32075	11	31	0	0	0	False
09	native-ql	32357	15354	13474	18883	235	1345	0	0	0	False
09	native-fixed-wald	32357	15354	13474	18883	378	1417	6	13	31	True
09	native-fixed-lrt	32357	15354	13474	18883	361	1389	3	9	17	True
09	reference-edgeR-QL	32357	15354	15354	17003	322	1640	0	0	1	False
09	reference-limma-voom	32357	15354	15354	17003	272	1470	0	0	1	False
09	reference-DESeq2	32357	15354	15354	17003	270	1018	5	6	7	True
09	reference-DESeq2-default	32357	15354	15354	17003	270	1018	5	6	14	True
